B,700C200h,750C50h,750C100h,750C200h,800C50h
25,11.362,17.195,14.134,34.232,22.482
24,27.949,35.147,31.915,58.536,36.891
23,52.484,60.059,57.468,90.088,55.298
22,85.529,92.426,91.345,129.41,77.992
21,127.72,132.82,134.17,177.11,105.31
20,179.81,181.88,186.68,233.87,137.63
19,242.63,240.38,249.7,300.49,175.4
18,317.2,309.21,324.23,377.93,219.14
17,404.7,389.4,411.42,467.3,269.48
16,506.54,482.21,512.66,569.92,327.15
15,624.41,589.16,629.62,687.4,393.04
14,760.42,712.1,764.37,821.71,468.24
13,917.13,853.31,919.43,975.31,554.13
12,1097.8,1015.7,1098,1151.3,652.41
11,1306.7,1203,1304.3,1353.6,765.31
10,1549.4,1420.2,1543.7,1587.6,895.75
9,1833.2,1674,1823.7,1860.3,1047.7
